"dm","gdr","smk","age","sbp","chl","refv","N_AFR_ME","CSS_AFR","ESS_AFR","SSS_AFR","WSS_AFR","SN_LAT_AME","HI_N_AME","CAR","AND_LAT_AME","CEN_LAT_AME","TRO_LAT_AME","EAS_ASI","SOU_ASI","SE_ASI","CEN_ASI","HI_ASI_PAC","WES_EUR","CEN_EUR","EAS_EUR","OCE","AUS"
0,1,0,"70-74",">=180","<4","70-74_1_0_0_>=180_<4",37,23,22,21,22,24,29,22,16,18,18,33,22,24,43,21,27,34,36,24,26
0,1,0,"70-74","160-179","<4","70-74_1_0_0_160-179_<4",31,19,18,18,18,20,24,18,14,15,15,27,18,19,34,18,22,27,31,20,22
0,1,0,"70-74","140-159","<4","70-74_1_0_0_140-159_<4",26,16,15,14,15,17,20,15,11,12,13,22,15,16,27,15,18,22,26,17,18
0,1,0,"70-74","120-139","<4","70-74_1_0_0_120-139_<4",21,13,12,12,12,14,17,12,9,10,11,18,13,13,21,13,15,17,22,14,15
0,1,0,"70-74","<120","<4","70-74_1_0_0_<120_<4",18,10,10,10,10,12,14,10,8,8,9,14,10,10,16,11,12,14,18,12,13
0,1,0,"65-69",">=180","<4","65-69_1_0_0_>=180_<4",29,18,18,17,17,19,23,17,13,14,15,26,17,19,31,17,21,26,29,20,21
0,1,0,"65-69","160-179","<4","65-69_1_0_0_160-179_<4",24,14,14,13,14,15,19,13,10,11,12,21,14,15,24,14,16,20,24,16,17
0,1,0,"65-69","140-159","<4","65-69_1_0_0_140-159_<4",19,12,11,11,11,13,16,11,8,9,10,16,11,11,18,12,13,15,20,13,14
0,1,0,"65-69","120-139","<4","65-69_1_0_0_120-139_<4",16,9,9,8,9,10,13,9,7,7,8,13,9,9,13,10,10,12,16,11,11
0,1,0,"65-69","<120","<4","65-69_1_0_0_<120_<4",13,7,7,7,7,8,11,7,6,6,6,10,8,7,10,8,8,9,13,9,9
0,1,0,"60-64",">=180","<4","60-64_1_0_0_>=180_<4",23,14,14,13,13,15,18,13,10,11,12,21,13,14,22,14,16,19,23,16,16
0,1,0,"60-64","160-179","<4","60-64_1_0_0_160-179_<4",18,11,11,10,10,12,15,10,8,9,9,16,11,11,16,11,12,15,19,13,13
0,1,0,"60-64","140-159","<4","60-64_1_0_0_140-159_<4",14,9,8,8,8,9,12,8,6,7,7,12,9,8,12,9,9,11,15,10,10
0,1,0,"60-64","120-139","<4","60-64_1_0_0_120-139_<4",11,7,7,6,6,8,10,6,5,5,6,9,7,6,9,7,7,8,12,8,8
0,1,0,"60-64","<120","<4","60-64_1_0_0_<120_<4",9,5,5,5,5,6,8,5,4,4,5,7,5,5,6,6,6,6,10,6,7
0,1,0,"55-59",">=180","<4","55-59_1_0_0_>=180_<4",18,11,11,10,10,12,15,10,8,8,9,16,10,11,15,11,12,14,19,13,13
0,1,0,"55-59","160-179","<4","55-59_1_0_0_160-179_<4",14,8,8,8,8,9,11,8,6,6,7,12,8,8,11,9,9,11,15,10,10
0,1,0,"55-59","140-159","<4","55-59_1_0_0_140-159_<4",11,6,6,6,6,7,9,6,5,5,6,9,6,6,8,7,7,8,12,8,8
0,1,0,"55-59","120-139","<4","55-59_1_0_0_120-139_<4",8,5,5,4,4,5,7,4,4,4,4,7,5,5,6,6,5,5,9,6,6
0,1,0,"55-59","<120","<4","55-59_1_0_0_<120_<4",6,4,4,3,3,4,6,3,3,3,3,5,4,3,4,5,4,4,7,5,5
0,1,0,"50-54",">=180","<4","50-54_1_0_0_>=180_<4",14,8,8,8,8,9,11,8,6,7,7,13,8,9,11,9,9,11,15,10,10
0,1,0,"50-54","160-179","<4","50-54_1_0_0_160-179_<4",10,6,6,6,6,7,9,6,5,5,6,9,6,6,8,7,7,8,11,8,7
0,1,0,"50-54","140-159","<4","50-54_1_0_0_140-159_<4",8,5,5,4,4,5,7,4,4,4,4,7,5,4,5,6,5,5,9,6,6
0,1,0,"50-54","120-139","<4","50-54_1_0_0_120-139_<4",6,3,3,3,3,4,5,3,3,3,3,5,4,3,4,4,4,4,7,4,4
0,1,0,"50-54","<120","<4","50-54_1_0_0_<120_<4",4,3,3,2,2,3,4,2,2,2,2,3,3,2,3,3,3,3,5,3,3
0,1,0,"45-49",">=180","<4","45-49_1_0_0_>=180_<4",11,6,6,6,6,7,9,6,5,5,6,10,6,7,8,7,7,8,12,8,7
0,1,0,"45-49","160-179","<4","45-49_1_0_0_160-179_<4",8,5,5,4,4,5,7,4,4,4,4,7,5,5,5,6,5,5,9,6,6
0,1,0,"45-49","140-159","<4","45-49_1_0_0_140-159_<4",6,3,3,3,3,4,5,3,3,3,3,5,4,3,4,4,3,4,7,5,4
0,1,0,"45-49","120-139","<4","45-49_1_0_0_120-139_<4",4,2,2,2,2,3,4,2,2,2,2,3,3,2,2,3,2,3,5,3,3
0,1,0,"45-49","<120","<4","45-49_1_0_0_<120_<4",3,2,2,2,2,2,3,2,1,1,2,2,2,2,2,3,2,2,4,2,2
0,1,0,"40-44",">=180","<4","40-44_1_0_0_>=180_<4",8,5,5,5,5,5,7,5,4,4,5,8,5,5,6,6,5,6,9,7,6
0,1,0,"40-44","160-179","<4","40-44_1_0_0_160-179_<4",6,4,3,3,3,4,5,3,3,3,3,5,4,4,4,5,4,4,7,5,4
